"Time","Day-ahead Price [EUR/MWh]"
"02.07.2022 11:00 - 02.07.2022 12:00","113.85"
"02.07.2022 12:00 - 02.07.2022 13:00","89.37"
"02.07.2022 13:00 - 02.07.2022 14:00","76.33"
"02.07.2022 14:00 - 02.07.2022 15:00","89.34"
"02.07.2022 15:00 - 02.07.2022 16:00","89.17"
"02.07.2022 16:00 - 02.07.2022 17:00","131.11"
"02.07.2022 17:00 - 02.07.2022 18:00","240.30"
"02.07.2022 18:00 - 02.07.2022 19:00","285.03"
"02.07.2022 19:00 - 02.07.2022 20:00","350.00"
"02.07.2022 20:00 - 02.07.2022 21:00","362.85"
"02.07.2022 21:00 - 02.07.2022 22:00","359.96"
"02.07.2022 22:00 - 02.07.2022 23:00","353.44"
"02.07.2022 23:00 - 03.07.2022 00:00","302.17"
"03.07.2022 00:00 - 03.07.2022 01:00","270.08"
"03.07.2022 01:00 - 03.07.2022 02:00","237.95"
"03.07.2022 02:00 - 03.07.2022 03:00","199.08"
"03.07.2022 03:00 - 03.07.2022 04:00","195.60"
"03.07.2022 04:00 - 03.07.2022 05:00","185.60"
"03.07.2022 05:00 - 03.07.2022 06:00","182.71"
"03.07.2022 06:00 - 03.07.2022 07:00","176.71"
"03.07.2022 07:00 - 03.07.2022 08:00","192.31"
"03.07.2022 08:00 - 03.07.2022 09:00","185.07"
"03.07.2022 09:00 - 03.07.2022 10:00","170.26"
"03.07.2022 10:00 - 03.07.2022 11:00","128.20"
"03.07.2022 11:00 - 03.07.2022 12:00","107.43"
"03.07.2022 12:00 - 03.07.2022 13:00","93.10"
"03.07.2022 13:00 - 03.07.2022 14:00","68.55"
"03.07.2022 14:00 - 03.07.2022 15:00","65.82"
"03.07.2022 15:00 - 03.07.2022 16:00","74.46"
"03.07.2022 16:00 - 03.07.2022 17:00","123.80"
"03.07.2022 17:00 - 03.07.2022 18:00","175.99"
"03.07.2022 18:00 - 03.07.2022 19:00","272.77"
"03.07.2022 19:00 - 03.07.2022 20:00","327.00"
"03.07.2022 20:00 - 03.07.2022 21:00","340.10"
"03.07.2022 21:00 - 03.07.2022 22:00","348.43"
"03.07.2022 22:00 - 03.07.2022 23:00","348.45"
"03.07.2022 23:00 - 04.07.2022 00:00","333.06"
"04.07.2022 00:00 - 04.07.2022 01:00","319.65"
"04.07.2022 01:00 - 04.07.2022 02:00","277.83"
"04.07.2022 02:00 - 04.07.2022 03:00","265.16"
"04.07.2022 03:00 - 04.07.2022 04:00","254.35"
"04.07.2022 04:00 - 04.07.2022 05:00","258.03"
"04.07.2022 05:00 - 04.07.2022 06:00","302.44"
"04.07.2022 06:00 - 04.07.2022 07:00","361.88"
"04.07.2022 07:00 - 04.07.2022 08:00","376.00"
"04.07.2022 08:00 - 04.07.2022 09:00","385.17"
"04.07.2022 09:00 - 04.07.2022 10:00","366.00"
"04.07.2022 10:00 - 04.07.2022 11:00","291.70"
"04.07.2022 11:00 - 04.07.2022 12:00","221.30"
"04.07.2022 12:00 - 04.07.2022 13:00","181.80"
"04.07.2022 13:00 - 04.07.2022 14:00","184.36"
"04.07.2022 14:00 - 04.07.2022 15:00","172.35"
"04.07.2022 15:00 - 04.07.2022 16:00","171.19"
"04.07.2022 16:00 - 04.07.2022 17:00","182.64"
"04.07.2022 17:00 - 04.07.2022 18:00","211.10"
"04.07.2022 18:00 - 04.07.2022 19:00","329.99"
"04.07.2022 19:00 - 04.07.2022 20:00","379.62"
"04.07.2022 20:00 - 04.07.2022 21:00","398.72"
"04.07.2022 21:00 - 04.07.2022 22:00","385.52"
"04.07.2022 22:00 - 04.07.2022 23:00","396.92"
"04.07.2022 23:00 - 05.07.2022 00:00","379.64"
"05.07.2022 00:00 - 05.07.2022 01:00","359.96"
"05.07.2022 01:00 - 05.07.2022 02:00","319.24"
"05.07.2022 02:00 - 05.07.2022 03:00","309.33"
"05.07.2022 03:00 - 05.07.2022 04:00","301.08"
"05.07.2022 04:00 - 05.07.2022 05:00","299.91"
"05.07.2022 05:00 - 05.07.2022 06:00","324.82"
"05.07.2022 06:00 - 05.07.2022 07:00","380.47"
"05.07.2022 07:00 - 05.07.2022 08:00","412.59"
"05.07.2022 08:00 - 05.07.2022 09:00","409.61"
"05.07.2022 09:00 - 05.07.2022 10:00","338.68"
"05.07.2022 10:00 - 05.07.2022 11:00","283.72"
"05.07.2022 11:00 - 05.07.2022 12:00","286.60"
"05.07.2022 12:00 - 05.07.2022 13:00","243.95"
"05.07.2022 13:00 - 05.07.2022 14:00","227.94"
"05.07.2022 14:00 - 05.07.2022 15:00","210.95"
"05.07.2022 15:00 - 05.07.2022 16:00","213.06"
"05.07.2022 16:00 - 05.07.2022 17:00","237.80"
"05.07.2022 17:00 - 05.07.2022 18:00","301.14"
"05.07.2022 18:00 - 05.07.2022 19:00","336.25"
"05.07.2022 19:00 - 05.07.2022 20:00","363.98"
"05.07.2022 20:00 - 05.07.2022 21:00","370.00"
"05.07.2022 21:00 - 05.07.2022 22:00","370.40"
"05.07.2022 22:00 - 05.07.2022 23:00","378.29"
"05.07.2022 23:00 - 06.07.2022 00:00","361.16"
"06.07.2022 00:00 - 06.07.2022 01:00","351.39"
"06.07.2022 01:00 - 06.07.2022 02:00","309.30"
"06.07.2022 02:00 - 06.07.2022 03:00","293.84"
"06.07.2022 03:00 - 06.07.2022 04:00","280.18"
"06.07.2022 04:00 - 06.07.2022 05:00","299.44"
"06.07.2022 05:00 - 06.07.2022 06:00","322.79"
"06.07.2022 06:00 - 06.07.2022 07:00","389.83"
"06.07.2022 07:00 - 06.07.2022 08:00","413.89"
"06.07.2022 08:00 - 06.07.2022 09:00","406.93"
"06.07.2022 09:00 - 06.07.2022 10:00","355.89"
"06.07.2022 10:00 - 06.07.2022 11:00","287.90"
"06.07.2022 11:00 - 06.07.2022 12:00","265.29"
"06.07.2022 12:00 - 06.07.2022 13:00","230.68"
"06.07.2022 13:00 - 06.07.2022 14:00","204.77"
"06.07.2022 14:00 - 06.07.2022 15:00","172.44"
"06.07.2022 15:00 - 06.07.2022 16:00","163.21"
"06.07.2022 16:00 - 06.07.2022 17:00","180.04"
"06.07.2022 17:00 - 06.07.2022 18:00","239.08"
"06.07.2022 18:00 - 06.07.2022 19:00","313.06"
"06.07.2022 19:00 - 06.07.2022 20:00","376.09"
"06.07.2022 20:00 - 06.07.2022 21:00","387.46"
"06.07.2022 21:00 - 06.07.2022 22:00","381.59"
"06.07.2022 22:00 - 06.07.2022 23:00","379.91"
"06.07.2022 23:00 - 07.07.2022 00:00","279.85"
"07.07.2022 00:00 - 07.07.2022 01:00","267.50"
"07.07.2022 01:00 - 07.07.2022 02:00","209.00"
"07.07.2022 02:00 - 07.07.2022 03:00","195.77"
"07.07.2022 03:00 - 07.07.2022 04:00","189.58"
"07.07.2022 04:00 - 07.07.2022 05:00","186.88"
"07.07.2022 05:00 - 07.07.2022 06:00","190.77"
"07.07.2022 06:00 - 07.07.2022 07:00","223.60"
"07.07.2022 07:00 - 07.07.2022 08:00","282.38"
"07.07.2022 08:00 - 07.07.2022 09:00","296.72"
"07.07.2022 09:00 - 07.07.2022 10:00","256.00"
"07.07.2022 10:00 - 07.07.2022 11:00","235.48"
"07.07.2022 11:00 - 07.07.2022 12:00","220.00"
"07.07.2022 12:00 - 07.07.2022 13:00","201.99"
"07.07.2022 13:00 - 07.07.2022 14:00","190.48"
"07.07.2022 14:00 - 07.07.2022 15:00","165.62"
"07.07.2022 15:00 - 07.07.2022 16:00","159.07"
"07.07.2022 16:00 - 07.07.2022 17:00","155.02"
"07.07.2022 17:00 - 07.07.2022 18:00","169.68"
"07.07.2022 18:00 - 07.07.2022 19:00","179.01"
"07.07.2022 19:00 - 07.07.2022 20:00","197.23"
"07.07.2022 20:00 - 07.07.2022 21:00","242.42"
"07.07.2022 21:00 - 07.07.2022 22:00","258.96"
"07.07.2022 22:00 - 07.07.2022 23:00","246.15"
"07.07.2022 23:00 - 08.07.2022 00:00","197.94"
"08.07.2022 00:00 - 08.07.2022 01:00","200.08"
"08.07.2022 01:00 - 08.07.2022 02:00","224.05"
"08.07.2022 02:00 - 08.07.2022 03:00","228.55"
"08.07.2022 03:00 - 08.07.2022 04:00","227.26"
"08.07.2022 04:00 - 08.07.2022 05:00","210.33"
"08.07.2022 05:00 - 08.07.2022 06:00","248.33"
"08.07.2022 06:00 - 08.07.2022 07:00","371.95"
"08.07.2022 07:00 - 08.07.2022 08:00","418.92"
"08.07.2022 08:00 - 08.07.2022 09:00","420.67"
"08.07.2022 09:00 - 08.07.2022 10:00","351.70"
"08.07.2022 10:00 - 08.07.2022 11:00","318.59"
"08.07.2022 11:00 - 08.07.2022 12:00","272.28"
"08.07.2022 12:00 - 08.07.2022 13:00","215.05"
"08.07.2022 13:00 - 08.07.2022 14:00","210.59"
"08.07.2022 14:00 - 08.07.2022 15:00","178.56"
"08.07.2022 15:00 - 08.07.2022 16:00","207.56"
"08.07.2022 16:00 - 08.07.2022 17:00","210.02"
"08.07.2022 17:00 - 08.07.2022 18:00","258.71"
"08.07.2022 18:00 - 08.07.2022 19:00","319.26"
"08.07.2022 19:00 - 08.07.2022 20:00","387.92"
"08.07.2022 20:00 - 08.07.2022 21:00","410.89"
"08.07.2022 21:00 - 08.07.2022 22:00","422.59"
"08.07.2022 22:00 - 08.07.2022 23:00","416.11"
"08.07.2022 23:00 - 09.07.2022 00:00","372.00"
"09.07.2022 00:00 - 09.07.2022 01:00","350.00"
"09.07.2022 01:00 - 09.07.2022 02:00","283.47"
"09.07.2022 02:00 - 09.07.2022 03:00","221.32"
"09.07.2022 03:00 - 09.07.2022 04:00","216.81"
"09.07.2022 04:00 - 09.07.2022 05:00","203.12"
"09.07.2022 05:00 - 09.07.2022 06:00","209.86"
"09.07.2022 06:00 - 09.07.2022 07:00","241.95"
"09.07.2022 07:00 - 09.07.2022 08:00","247.14"
"09.07.2022 08:00 - 09.07.2022 09:00","241.43"
"09.07.2022 09:00 - 09.07.2022 10:00","179.83"
"09.07.2022 10:00 - 09.07.2022 11:00","154.72"
"09.07.2022 11:00 - 09.07.2022 12:00","136.51"
"09.07.2022 12:00 - 09.07.2022 13:00","93.54"
"09.07.2022 13:00 - 09.07.2022 14:00","74.35"
"09.07.2022 14:00 - 09.07.2022 15:00","21.94"
"09.07.2022 15:00 - 09.07.2022 16:00","11.94"
"09.07.2022 16:00 - 09.07.2022 17:00","16.03"
"09.07.2022 17:00 - 09.07.2022 18:00","64.84"
"09.07.2022 18:00 - 09.07.2022 19:00","90.02"
"09.07.2022 19:00 - 09.07.2022 20:00","94.98"
"09.07.2022 20:00 - 09.07.2022 21:00","100.86"
"09.07.2022 21:00 - 09.07.2022 22:00","100.59"
"09.07.2022 22:00 - 09.07.2022 23:00","120.16"
"09.07.2022 23:00 - 10.07.2022 00:00","79.89"
"10.07.2022 00:00 - 10.07.2022 01:00","77.12"
"10.07.2022 01:00 - 10.07.2022 02:00","49.32"
"10.07.2022 02:00 - 10.07.2022 03:00","50.03"
"10.07.2022 03:00 - 10.07.2022 04:00","31.39"
"10.07.2022 04:00 - 10.07.2022 05:00","63.31"
"10.07.2022 05:00 - 10.07.2022 06:00","58.57"
"10.07.2022 06:00 - 10.07.2022 07:00","67.67"
"10.07.2022 07:00 - 10.07.2022 08:00","41.89"
"10.07.2022 08:00 - 10.07.2022 09:00","36.75"
"10.07.2022 09:00 - 10.07.2022 10:00","30.01"
"10.07.2022 10:00 - 10.07.2022 11:00","30.08"
"10.07.2022 11:00 - 10.07.2022 12:00","49.77"
"10.07.2022 12:00 - 10.07.2022 13:00","20.00"
"10.07.2022 13:00 - 10.07.2022 14:00","19.14"
"10.07.2022 14:00 - 10.07.2022 15:00","11.85"
"10.07.2022 15:00 - 10.07.2022 16:00","21.31"
"10.07.2022 16:00 - 10.07.2022 17:00","40.29"
"10.07.2022 17:00 - 10.07.2022 18:00","77.11"
"10.07.2022 18:00 - 10.07.2022 19:00","157.13"
"10.07.2022 19:00 - 10.07.2022 20:00","322.13"
"10.07.2022 20:00 - 10.07.2022 21:00","369.90"
"10.07.2022 21:00 - 10.07.2022 22:00","378.07"
"10.07.2022 22:00 - 10.07.2022 23:00","389.17"
"10.07.2022 23:00 - 11.07.2022 00:00","371.92"
"11.07.2022 00:00 - 11.07.2022 01:00","320.08"
"11.07.2022 01:00 - 11.07.2022 02:00","278.00"
"11.07.2022 02:00 - 11.07.2022 03:00","275.96"
"11.07.2022 03:00 - 11.07.2022 04:00","269.27"
"11.07.2022 04:00 - 11.07.2022 05:00","272.15"
"11.07.2022 05:00 - 11.07.2022 06:00","298.00"
"11.07.2022 06:00 - 11.07.2022 07:00","395.95"
"11.07.2022 07:00 - 11.07.2022 08:00","415.08"
"11.07.2022 08:00 - 11.07.2022 09:00","433.97"
"11.07.2022 09:00 - 11.07.2022 10:00","416.32"
"11.07.2022 10:00 - 11.07.2022 11:00","404.98"
"11.07.2022 11:00 - 11.07.2022 12:00","396.90"
"11.07.2022 12:00 - 11.07.2022 13:00","380.42"
"11.07.2022 13:00 - 11.07.2022 14:00","369.28"
"11.07.2022 14:00 - 11.07.2022 15:00","333.76"
"11.07.2022 15:00 - 11.07.2022 16:00","332.61"
"11.07.2022 16:00 - 11.07.2022 17:00","319.82"
"11.07.2022 17:00 - 11.07.2022 18:00","375.48"
"11.07.2022 18:00 - 11.07.2022 19:00","405.00"
"11.07.2022 19:00 - 11.07.2022 20:00","458.03"
"11.07.2022 20:00 - 11.07.2022 21:00","469.90"
"11.07.2022 21:00 - 11.07.2022 22:00","452.12"
"11.07.2022 22:00 - 11.07.2022 23:00","450.05"
"11.07.2022 23:00 - 12.07.2022 00:00","419.15"
"12.07.2022 00:00 - 12.07.2022 01:00","395.49"
"12.07.2022 01:00 - 12.07.2022 02:00","349.57"
"12.07.2022 02:00 - 12.07.2022 03:00","330.04"
"12.07.2022 03:00 - 12.07.2022 04:00","331.50"
"12.07.2022 04:00 - 12.07.2022 05:00","334.34"
"12.07.2022 05:00 - 12.07.2022 06:00","362.10"
"12.07.2022 06:00 - 12.07.2022 07:00","419.64"
"12.07.2022 07:00 - 12.07.2022 08:00","453.66"
"12.07.2022 08:00 - 12.07.2022 09:00","448.90"
"12.07.2022 09:00 - 12.07.2022 10:00","382.42"
"12.07.2022 10:00 - 12.07.2022 11:00","328.74"
"12.07.2022 11:00 - 12.07.2022 12:00","338.32"
"12.07.2022 12:00 - 12.07.2022 13:00","297.47"
"12.07.2022 13:00 - 12.07.2022 14:00","260.07"
"12.07.2022 14:00 - 12.07.2022 15:00","262.23"
"12.07.2022 15:00 - 12.07.2022 16:00","287.22"
"12.07.2022 16:00 - 12.07.2022 17:00","314.81"
"12.07.2022 17:00 - 12.07.2022 18:00","395.90"
"12.07.2022 18:00 - 12.07.2022 19:00","429.08"
"12.07.2022 19:00 - 12.07.2022 20:00","481.59"
"12.07.2022 20:00 - 12.07.2022 21:00","506.69"
"12.07.2022 21:00 - 12.07.2022 22:00","480.00"
"12.07.2022 22:00 - 12.07.2022 23:00","470.00"
"12.07.2022 23:00 - 13.07.2022 00:00","404.09"
"13.07.2022 00:00 - 13.07.2022 01:00","416.05"
"13.07.2022 01:00 - 13.07.2022 02:00","365.61"
"13.07.2022 02:00 - 13.07.2022 03:00","325.34"
"13.07.2022 03:00 - 13.07.2022 04:00","339.99"
"13.07.2022 04:00 - 13.07.2022 05:00","325.04"
"13.07.2022 05:00 - 13.07.2022 06:00","332.22"
"13.07.2022 06:00 - 13.07.2022 07:00","411.97"
"13.07.2022 07:00 - 13.07.2022 08:00","435.00"
"13.07.2022 08:00 - 13.07.2022 09:00","456.57"
"13.07.2022 09:00 - 13.07.2022 10:00","423.14"
"13.07.2022 10:00 - 13.07.2022 11:00","365.76"
"13.07.2022 11:00 - 13.07.2022 12:00","350.25"
"13.07.2022 12:00 - 13.07.2022 13:00","273.05"
"13.07.2022 13:00 - 13.07.2022 14:00","246.10"
"13.07.2022 14:00 - 13.07.2022 15:00","190.02"
"13.07.2022 15:00 - 13.07.2022 16:00","183.63"
"13.07.2022 16:00 - 13.07.2022 17:00","211.39"
"13.07.2022 17:00 - 13.07.2022 18:00","294.48"
"13.07.2022 18:00 - 13.07.2022 19:00","370.44"
"13.07.2022 19:00 - 13.07.2022 20:00","431.70"
"13.07.2022 20:00 - 13.07.2022 21:00","448.22"
"13.07.2022 21:00 - 13.07.2022 22:00","446.34"
"13.07.2022 22:00 - 13.07.2022 23:00","435.93"
"13.07.2022 23:00 - 14.07.2022 00:00","373.57"
"14.07.2022 00:00 - 14.07.2022 01:00","400.44"
"14.07.2022 01:00 - 14.07.2022 02:00","378.06"
"14.07.2022 02:00 - 14.07.2022 03:00","345.47"
"14.07.2022 03:00 - 14.07.2022 04:00","334.10"
"14.07.2022 04:00 - 14.07.2022 05:00","335.01"
"14.07.2022 05:00 - 14.07.2022 06:00","371.63"
"14.07.2022 06:00 - 14.07.2022 07:00","421.32"
"14.07.2022 07:00 - 14.07.2022 08:00","433.31"
"14.07.2022 08:00 - 14.07.2022 09:00","434.07"
"14.07.2022 09:00 - 14.07.2022 10:00","419.94"
"14.07.2022 10:00 - 14.07.2022 11:00","379.90"
"14.07.2022 11:00 - 14.07.2022 12:00","355.93"
"14.07.2022 12:00 - 14.07.2022 13:00","301.49"
"14.07.2022 13:00 - 14.07.2022 14:00","274.85"
"14.07.2022 14:00 - 14.07.2022 15:00","239.44"
"14.07.2022 15:00 - 14.07.2022 16:00","254.96"
"14.07.2022 16:00 - 14.07.2022 17:00","282.60"
"14.07.2022 17:00 - 14.07.2022 18:00","346.37"
"14.07.2022 18:00 - 14.07.2022 19:00","394.63"
"14.07.2022 19:00 - 14.07.2022 20:00","420.92"
"14.07.2022 20:00 - 14.07.2022 21:00","436.27"
"14.07.2022 21:00 - 14.07.2022 22:00","433.93"
"14.07.2022 22:00 - 14.07.2022 23:00","422.39"
"14.07.2022 23:00 - 15.07.2022 00:00","400.04"
"15.07.2022 00:00 - 15.07.2022 01:00","350.00"
"15.07.2022 01:00 - 15.07.2022 02:00","320.07"
"15.07.2022 02:00 - 15.07.2022 03:00","298.49"
"15.07.2022 03:00 - 15.07.2022 04:00","305.01"
"15.07.2022 04:00 - 15.07.2022 05:00","307.55"
"15.07.2022 05:00 - 15.07.2022 06:00","330.00"
"15.07.2022 06:00 - 15.07.2022 07:00","404.90"
"15.07.2022 07:00 - 15.07.2022 08:00","429.92"
"15.07.2022 08:00 - 15.07.2022 09:00","416.65"
"15.07.2022 09:00 - 15.07.2022 10:00","334.06"
"15.07.2022 10:00 - 15.07.2022 11:00","262.45"
"15.07.2022 11:00 - 15.07.2022 12:00","243.92"
"15.07.2022 12:00 - 15.07.2022 13:00","218.10"
"15.07.2022 13:00 - 15.07.2022 14:00","190.00"
"15.07.2022 14:00 - 15.07.2022 15:00","191.80"
"15.07.2022 15:00 - 15.07.2022 16:00","222.15"
"15.07.2022 16:00 - 15.07.2022 17:00","225.39"
"15.07.2022 17:00 - 15.07.2022 18:00","335.35"
"15.07.2022 18:00 - 15.07.2022 19:00","409.07"
"15.07.2022 19:00 - 15.07.2022 20:00","421.86"
"15.07.2022 20:00 - 15.07.2022 21:00","430.45"
"15.07.2022 21:00 - 15.07.2022 22:00","433.99"
"15.07.2022 22:00 - 15.07.2022 23:00","432.89"
"15.07.2022 23:00 - 16.07.2022 00:00","404.09"
"16.07.2022 00:00 - 16.07.2022 01:00","384.91"
"16.07.2022 01:00 - 16.07.2022 02:00","349.96"
"16.07.2022 02:00 - 16.07.2022 03:00","289.80"
"16.07.2022 03:00 - 16.07.2022 04:00","252.86"
"16.07.2022 04:00 - 16.07.2022 05:00","236.19"
"16.07.2022 05:00 - 16.07.2022 06:00","233.10"
"16.07.2022 06:00 - 16.07.2022 07:00","211.55"
"16.07.2022 07:00 - 16.07.2022 08:00","199.74"
"16.07.2022 08:00 - 16.07.2022 09:00","139.93"
"16.07.2022 09:00 - 16.07.2022 10:00","52.49"
"16.07.2022 10:00 - 16.07.2022 11:00","35.53"
"16.07.2022 11:00 - 16.07.2022 12:00","1.07"
"16.07.2022 12:00 - 16.07.2022 13:00","0.07"
"16.07.2022 13:00 - 16.07.2022 14:00","-0.05"
"16.07.2022 14:00 - 16.07.2022 15:00","-0.10"
"16.07.2022 15:00 - 16.07.2022 16:00","0.00"
"16.07.2022 16:00 - 16.07.2022 17:00","1.03"
"16.07.2022 17:00 - 16.07.2022 18:00","31.66"
"16.07.2022 18:00 - 16.07.2022 19:00","143.75"
"16.07.2022 19:00 - 16.07.2022 20:00","264.30"
"16.07.2022 20:00 - 16.07.2022 21:00","334.25"
"16.07.2022 21:00 - 16.07.2022 22:00","344.13"
"16.07.2022 22:00 - 16.07.2022 23:00","357.55"
"16.07.2022 23:00 - 17.07.2022 00:00","331.77"
"17.07.2022 00:00 - 17.07.2022 01:00","290.06"
"17.07.2022 01:00 - 17.07.2022 02:00","240.80"
"17.07.2022 02:00 - 17.07.2022 03:00","200.64"
"17.07.2022 03:00 - 17.07.2022 04:00","192.63"
"17.07.2022 04:00 - 17.07.2022 05:00","193.81"
"17.07.2022 05:00 - 17.07.2022 06:00","190.46"
"17.07.2022 06:00 - 17.07.2022 07:00","195.02"
"17.07.2022 07:00 - 17.07.2022 08:00","190.14"
"17.07.2022 08:00 - 17.07.2022 09:00","189.51"
"17.07.2022 09:00 - 17.07.2022 10:00","164.00"
"17.07.2022 10:00 - 17.07.2022 11:00","115.77"
"17.07.2022 11:00 - 17.07.2022 12:00","110.21"
"17.07.2022 12:00 - 17.07.2022 13:00","87.59"
"17.07.2022 13:00 - 17.07.2022 14:00","72.92"
"17.07.2022 14:00 - 17.07.2022 15:00","40.02"
"17.07.2022 15:00 - 17.07.2022 16:00","83.42"
"17.07.2022 16:00 - 17.07.2022 17:00","109.30"
"17.07.2022 17:00 - 17.07.2022 18:00","200.89"
"17.07.2022 18:00 - 17.07.2022 19:00","344.42"
"17.07.2022 19:00 - 17.07.2022 20:00","415.01"
"17.07.2022 20:00 - 17.07.2022 21:00","426.40"
"17.07.2022 21:00 - 17.07.2022 22:00","434.95"
"17.07.2022 22:00 - 17.07.2022 23:00","430.02"
"17.07.2022 23:00 - 18.07.2022 00:00","406.57"
"18.07.2022 00:00 - 18.07.2022 01:00","389.77"
"18.07.2022 01:00 - 18.07.2022 02:00","328.49"
"18.07.2022 02:00 - 18.07.2022 03:00","299.23"
"18.07.2022 03:00 - 18.07.2022 04:00","282.44"
"18.07.2022 04:00 - 18.07.2022 05:00","287.08"
"18.07.2022 05:00 - 18.07.2022 06:00","305.11"
"18.07.2022 06:00 - 18.07.2022 07:00","393.11"
"18.07.2022 07:00 - 18.07.2022 08:00","424.94"
"18.07.2022 08:00 - 18.07.2022 09:00","401.82"
"18.07.2022 09:00 - 18.07.2022 10:00","373.93"
"18.07.2022 10:00 - 18.07.2022 11:00","324.03"
"18.07.2022 11:00 - 18.07.2022 12:00","303.44"
"18.07.2022 12:00 - 18.07.2022 13:00","291.35"
"18.07.2022 13:00 - 18.07.2022 14:00","271.57"
"18.07.2022 14:00 - 18.07.2022 15:00","277.89"
"18.07.2022 15:00 - 18.07.2022 16:00","279.97"
"18.07.2022 16:00 - 18.07.2022 17:00","386.25"
"18.07.2022 17:00 - 18.07.2022 18:00","455.42"
"18.07.2022 18:00 - 18.07.2022 19:00","512.56"
"18.07.2022 19:00 - 18.07.2022 20:00","637.64"
"18.07.2022 20:00 - 18.07.2022 21:00","679.54"
"18.07.2022 21:00 - 18.07.2022 22:00","600.00"
"18.07.2022 22:00 - 18.07.2022 23:00","530.13"
"18.07.2022 23:00 - 19.07.2022 00:00","469.86"
"19.07.2022 00:00 - 19.07.2022 01:00","402.46"
"19.07.2022 01:00 - 19.07.2022 02:00","368.99"
"19.07.2022 02:00 - 19.07.2022 03:00","336.39"
"19.07.2022 03:00 - 19.07.2022 04:00","325.24"
"19.07.2022 04:00 - 19.07.2022 05:00","318.72"
"19.07.2022 05:00 - 19.07.2022 06:00","350.98"
"19.07.2022 06:00 - 19.07.2022 07:00","440.00"
"19.07.2022 07:00 - 19.07.2022 08:00","483.43"
"19.07.2022 08:00 - 19.07.2022 09:00","452.95"
"19.07.2022 09:00 - 19.07.2022 10:00","385.60"
"19.07.2022 10:00 - 19.07.2022 11:00","364.07"
"19.07.2022 11:00 - 19.07.2022 12:00","342.88"
"19.07.2022 12:00 - 19.07.2022 13:00","344.33"
"19.07.2022 13:00 - 19.07.2022 14:00","339.53"
"19.07.2022 14:00 - 19.07.2022 15:00","322.72"
"19.07.2022 15:00 - 19.07.2022 16:00","348.17"
"19.07.2022 16:00 - 19.07.2022 17:00","380.01"
"19.07.2022 17:00 - 19.07.2022 18:00","443.42"
"19.07.2022 18:00 - 19.07.2022 19:00","484.10"
"19.07.2022 19:00 - 19.07.2022 20:00","581.25"
"19.07.2022 20:00 - 19.07.2022 21:00","570.05"
"19.07.2022 21:00 - 19.07.2022 22:00","466.15"
"19.07.2022 22:00 - 19.07.2022 23:00","392.70"
"19.07.2022 23:00 - 20.07.2022 00:00","285.91"
"20.07.2022 00:00 - 20.07.2022 01:00","268.35"
"20.07.2022 01:00 - 20.07.2022 02:00","241.92"
"20.07.2022 02:00 - 20.07.2022 03:00","234.63"
"20.07.2022 03:00 - 20.07.2022 04:00","236.89"
"20.07.2022 04:00 - 20.07.2022 05:00","235.99"
"20.07.2022 05:00 - 20.07.2022 06:00","280.09"
"20.07.2022 06:00 - 20.07.2022 07:00","377.03"
"20.07.2022 07:00 - 20.07.2022 08:00","425.07"
"20.07.2022 08:00 - 20.07.2022 09:00","394.46"
